Padrão,Frase
DIRETO,"MC Hariel e Gilberto Gil - A Dança - FUNK SUPERAÇÃO,MC Hariel,kkkkkkk crente eh mei burro mesmo,Religião,https://www.youtube.com/watch?v=C0NRXaQin-4"
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,Sou carioca mais papo reto ou o povo Paulista é burro ou essas urnas tem alguma coisa errada,Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,28% do povo paulistano é inteligente o resto é trouxa demais,Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,""Os brasileiroso, a maioria são burro, esse cara só queria mudar a história de são Paulo, pq pô dinheiro NN era, o brasileiro gosta de sofrer mesmo i ."",Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,😂😂😂😂😂😂😂 esse cara é piada mesmo esse cara mente mais que não sei o que kkkk ainda bem que o povo de SP não é burro de cair na lábia de um merda desses e pra piora ele acha que vai ser presidente 😂😂😂😂😂😂😂😂😂😂,Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"Falam que o nordestino é BURRO e o que vocês são agora?"",Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,isso é pra vc saber que o povo brasileiro não é burro....
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,""Cara eu ainda tento acreditar que roubaram essa eleição de SP, impossível o povo ser tão burro 😅"",Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"Vc merece ,  o povo é burro e ingrato."
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,Viu que brasileiro é burro e vota em qualquer um,Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,""Só existe duas coisas ,o povo brasileiro é muito burro ou a máquina do governo é muito poderosa."
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,""Difícil acreditar, passo a acreditar cada dia mais que democracia não existe e que o sistema elege quem eles querem, eleições presidenciais mais do que na cara que houve fraude e Pablo Marçal não ir nem pra o segundo turno,das duas uma o sistema controla quem entra no poder ou o povo é burro mesmo!!!"",Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,""Unico que não gastou dinheiro público, mas o tal do pobre é tão burro que gosta de votar em quem queima o dinheiro dele."
DIRETO,3 ou o povo é burro no geral mesmo e a culpa do brasil ser essa merda não é só dos votos do nordeste .
DIRETO,e diz q o Amazonense é burro
DIRETO,"Ele só quer ganhar pra ser mais arrogante e se achar como sempre, se acha o gás da coca cola, é um idiota mesmo"",Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"News,""Quanto mais burro o povo, pior são os eleitos"",Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,""Complicado, ele vacilou mas o povo é bem burro msm como pode um ser humano votar em Boulos."
CARACTERIZACAO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,""Ainda bem que não foi pro segundo turno, o cara ficava igual mongol falando M, 28 e atacando os candidatos invez de falar de proposta nos debates"",Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,""Hahahahahahahaha, vai ficar inelegível, vc é muito burro, vc não ér o que vc acha que é."
DIRETO,"Não é todo o nordeste que é burro, só a maior parte..."
DIRETO,"Que nada, aqui no ceará é cheio de suldestino, SP foi burro mesmo, cada a direita de vcs 😂😂, traiu vcs"",Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,""Na verdade essa história de que o povo do nordeste é burro, pode ter certeza que partiu da esquerda maldita!"
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,Até eu moro no Pará reconheço que o povo de São Paulo foi burro demais cara 😂😂😂😂😂😂,Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,Uai se o povo votou no lula que participou do maior esquema de corrupção do Brasil o mensalão desviando bilhões dos cofres público na saúde educação saneamento...e ainda conseguiu retornar a presidência o brasileiro é muito burro mesmo  @fabiogvs ,Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"@Cicero_Alvez  Isso deve ser ironia, não quero acreditar que vc é tão burro a ponto de achar que essa invenção de invadir casa é real😂😂"
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,O povo é burro!"
DIRETO,"News,""Quando não se tem alternativa como gestor,  anula-se o voto,  sendo assim a grande maioria fasendo isso eles se tocam que o povo não é burro."
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,O povo não é idiota!!"
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,O povo é idiota..."
DIRETO,QUE É IDIOTA DUVIDANDO DAS URNAS ...
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,""Tô muito mais muito triste mesmo nunca pensei q o povo fosse tão burro em perder a maior chance da suas vidas, Marçal vc não mere o povo d Sp vc merece o Brasil 🇧🇷 vem tim bora presidente 🫡🇧🇷🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🧢🧢🧢🧢🧢🧢🧢🧢🇺🇸🇺🇸🇺🇸🇺🇸"
CARACTERIZACAO,"Para de ser burro mano, vocês parecem um bando de malucos lunáticos"",Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"Não sei quem é mais burro,Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,Não seja burro o Xandão tá ali pra isso,Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"Brasileiro é burro mesmo, não tem jeito."
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,Deixa de ser otário que esse estelionatario está tão dentro do Sistema quanto qualquer político e vota nele quem é burro,Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,Vc é burro o cara tem milhões de seguidores no Brasil todo,Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,Nem o Bolsonaro ta com esse idiota imagina Deus que não prega a raiva ou provocação KKK,Política,https://www.youtube.com/watch?v=eJxMyrJqp2E"
DIRETO,"POR GOVERNO LULA,Itatiaia,Infelizmente povo é burro gosta de sofrer 😢,Política,https://www.youtube.com/watch?v=PBw01lKXAIo"
DIRETO,"POR GOVERNO LULA,Itatiaia,""TU FALA MERDA DEMAIS , VOCÊ É MUITO BURRO ."
DIRETO,"POR GOVERNO LULA,Itatiaia,""Você é um idiota, que fala mau de todo mundo."
DIRETO,"POR GOVERNO LULA,Itatiaia,O povo é burro sempre foram prejudicaram os idosos adadd teu pente fino usa como arma o lula só que é para robar oentw finos roubos dos governos e assim estão quebrendo,Política,https://www.youtube.com/watch?v=PBw01lKXAIo"
DIRETO,"Esse é idiota força toma vergonha golpista,Política,https://www.youtube.com/watch?v=PBw01lKXAIo"
DIRETO,"POR GOVERNO LULA,Itatiaia,Em são Paulo vc tá apoiando um comunista estou fora sou patriota não sou burro,Política,https://www.youtube.com/watch?v=PBw01lKXAIo"
DIRETO,"POR GOVERNO LULA,Itatiaia,""Ditadura  era o que  vc queria  transformar  o Brasil  acabar com os direitos  do povo por isso  perdeu, pensou  que povão  era burro  igual vc."
DIRETO,"POR GOVERNO LULA,Itatiaia,""E eu que achava que esse idiota era burro😂😂😂 estava enganado pq ele é super burro ."
DIRETO,Essa gente é tão retardada que nem entende o que é liberdade e democracia.
DIRETO,"POR GOVERNO LULA,Itatiaia,""Amigo não seja burro que isto já e demais sinto te chamar de capim que estarei elogiando golpe sem forças"
DIRETO,"POR GOVERNO LULA,Itatiaia,Presidente de quem retardado retardado de quem é,Política,https://www.youtube.com/watch?v=PBw01lKXAIo"
DIRETO,"Você é burro isso sim, aprenda e estude antes de sair falando besteira, garoto"",Religião,https://www.youtube.com/watch?v=3wij_JBSlDs"
DIRETO,"Todas as Religiões em 13 Minutos,Novos Clássicos,""O IDIOTA"
DIRETO,Você literalmente é tão burro que não sabe nem o básico das teorias do Big Bang ou das origem das espécies.. se vai querer usar ambas como maneira simplista e tentando um meio pejorativo para ficar no mesmo nível da sua fantasia diz então deveria sequer saber o básico delas ..
DIRETO,"Todas as Religiões em 13 Minutos,Novos Clássicos,​ @paulohenrique8894 tu é idiota demais boy,Religião,https://www.youtube.com/watch?v=3wij_JBSlDs"
DIRETO,"Todas as Religiões em 13 Minutos,Novos Clássicos, @pleonardocosta  ser idiota assim também não torna elas mentiras."
DIRETO,"Alem de chato é burro,Religião,https://www.youtube.com/watch?v=3wij_JBSlDs"
DIRETO,"Porquê eu não tenho religião,Brubs,MN eu me pergunto porque pra que eu tô tentando confortar ela com o fato das pessoas serem muito idiotas e agora vem um idiota por causa que foi um erro de digitação do meu teclado mas tudo o povo quer criticar tudo não pode respirar errado que lá vem gente criticar meu Deus foi um erro do meu teclado eu ainda sou burro de responder você,Religião,https://www.youtube.com/watch?v=U13OaoLfz54"
DIRETO,Esse tipo de batismo é inválido.
DIRETO,"Logo ela que fica falando mal do meu tio, falando que ele é muito burro pelas costas dele."
CARACTERIZACAO,"Porquê eu não tenho religião,Brubs,Idiota fica falando mal da religião,Religião,https://www.youtube.com/watch?v=U13OaoLfz54"
DIRETO,"Porquê eu não tenho religião,Brubs,Ah eu não gosto muito da catequese mas eu faço porque eu fui burro de aceitar,Religião,https://www.youtube.com/watch?v=U13OaoLfz54"
DIRETO,"É se um ignorante vim falar que eu sou burro é vou para o inferno por não concordar com minha decisão, eu vou ficar put#"",Religião,https://www.youtube.com/watch?v=U13OaoLfz54"
DIRETO,Você é burro.
DIRETO,"121,Drauzio Varella,""Seu comentário foi extremamente burro, o número não aumentou não, só que muitos homosexuais só estão tendo agr coragem pra se assumir, quando mais os anos se passam mas deles se cansam de esconder quem são"",Sexualidade,https://www.youtube.com/watch?v=9kowwGuS_-8"
DIRETO,"Varella,Vc q é burro,Sexualidade,https://www.youtube.com/watch?v=9kowwGuS_-8"
DIRETO,"Varella, @naufrago7676  tu é burro ou se faz??"
DIRETO,@cheeseroni  você é estúpido?
VERBO_TERMO,"121,Drauzio Varella,""@Murilo assista o vídeo, ele relativiza o conceito de masculino e feminino, como se não houvesse como definir um e outro, será que vc é tão burro que não percebeu isso?"",Sexualidade,https://www.youtube.com/watch?v=9kowwGuS_-8"
DIRETO,Ou seja se eu não acreditar no que você acredita eu sou burro?
DIRETO,"E você crê em signos?Se você não crê você é burro,tem lógica isso?"",Sexualidade,https://www.youtube.com/watch?v=9kowwGuS_-8"
DIRETO,"Varella,A Globo é uma empresa privada dependente do captal portanto chamar ela de comunista só demonstra que você é burro,Sexualidade,https://www.youtube.com/watch?v=9kowwGuS_-8"
DIRETO,"J. Müller  e defende o PT também e o comunismo tbém que matou mais de 100 milhões de pessoas , como vc é burro e cego"",Sexualidade,https://www.youtube.com/watch?v=9kowwGuS_-8"
DIRETO,"Varella,""É idiota é idiota..."
DIRETO,"Você segue uma ideia imbecil que seus professores eram uns monstros e na verdade o monstro é o idiota quem ensinou isso a você, agradeça que existiu um professor que lhe ensinou que se ler veneno não deve comer."
DIRETO,"Só não entende quem é muito burro ou não quer entender, porque nega a ciência cegamente."
DIRETO,Mas querer liberar armas e drogas nao tem q ser muito idiota.
DIRETO,"Terceiro vc viu o texto, ou vc é muito burro ou dissimulado (acho que é burro e dissimulado)."
DIRETO,"Varella,"" @jonathanphilereno , então, meu caro,você é mais burro do que eu imaginava, pois dizer, categoricamente, que a homossexualidade é um vício é não entender o mínimo de ciências biológicas."
DIRETO,"Você é tão idiota, que começa a sua argumentação afirmando que """"na ciência não existe verdade absoluta""""."
CARACTERIZACAO,Seguiu a risca a cartilha olavista de como se tornar um idiota.
DIRETO,"Varella,Ele é Idiota,Sexualidade,https://www.youtube.com/watch?v=9kowwGuS_-8"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Esses comentarista é tudo idiota não entende nada de futebol são analista de porra nenhuma,Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,""Flavio Prado, um velho retardado, é aquele vovozão  que o tempo passou mas ele não viu o tempo passar, tá preso no tempo dele, estilo de futebol antigo, aquele velho que a gente na roda de amigos nem dá ideia pro que fala, e o pilhado perdendo tempo batendo boca, ooooooo vai jogar carteado, Rogério é minha pica, você entende de futebol quando a bola era de pano, tempos hj é outro, você é igual o Dorival na seleção brasileira, esquema tático de futebol arcaico, vai comentar jogo dama vovô."
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,O Flávio Prado é Burro ou ele é Burro fala q o Neymar jogador jogar é um detalhe agr fala q R.Ceni é melhor"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Pilhado é deficiente."
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,""Flavio prado é maluco, mas o pilhado é mais burro"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Esse velho é retardado eu que sou Corinthians prefiro o Jorge jesus seleção não é pra ter clubismo e nem botar alguém em um cargo por amizade 💁🏻‍♂️ pelo menos o velho ia botar pressão nesses moleke e com certeza ele ia ter culhão pra por os melhores jogadores,Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Flávio Prado esse cara é  burro de mais."
DIRETO,"Prado és burro e desatualizado então o Ancelotti quantos anos tem manda o Ancelotti aí para o Brasil e não está dois meses e além disso o JJ.tem nos adjuntos o trabalho ele só orienta,e não digas mal do campeonato português porque nada conheces meu burro velho"",Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,É um idiota  baba ovo.
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,""Esse Flávio além de xenófobo com os Portugueses , é burro"
DIRETO,"Esse Flávio é um retardado não bate bem da cabeça não ele precisa se tratar urgente, a situação dele é gravíssima..."
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Esse Flávio Prado é um idiota com um microfone,Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,o flavio é mesmo burro,Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,""O pilhado é trouxa!"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Esse Flávio é um idiota."
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,""Flavio padro é o demente superior."
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Flávio Prado é um idiota prepotente."
VERBO_TERMO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,""Ainda bem que Flávio não é presidente da CBF, ele consegue ser mas burro que o atual presidente"",Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Flávio Prado está com alguma paralisia cerebral?"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Flávio Prado é o burro esse Jorge Jesus não tacou nada também,Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,""esse pilhado é um idiota...."
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,O nosso Brasil não tem mais  uma  selecção  os jogadores da selecção Brasileira  todos jogadores  são  burro   muito  moleques,Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,""Avisa o demente que no super mundial somente vão gigantes seu burro, a velha imprensa paulista que acham que estão superiores em tudo avisa ao imbecil que Benfica e por foram campeões europeus e o flamengo mundial, vc sim ninguém sabe quem vc é"",Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,""Esse flavio é burro demais  , descute com todo  mundo  humilhou o Viga,  descute quase todo dia , chupa ovo de tite.."
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Esse véi é muito burro,Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Pilhado é burro demais,Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Tem que ser muito burro pra querer Rogério Ceni na seleção brasileira,Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,""Tadinho , é retardado 😂😂😂"",Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Esse Pilhado é um idiota sem noção,Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Esse Flávio é um idiota,Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Flávio Prado é o maior idiota desportivo do Brasil."
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,""O pilhado é outro burro, porque para calar o Flavio Prado que não passa dum ignorante pedante bastava o seguinte."
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Esse velho gagá além de ser arrogante é burro e bairrista,Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,""Esse pilhado é um idiota de currículo, não sabe porra nenhuma de futebol, Jorge Jesus é um cara velho, sem expressão, se for para trazer ele, prefiro o Renato Gaúcho ou Rogério Ceni."
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,""@p.henrique588 quando se é burro é assim..."
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Esse Flávio Prado é um idiota,Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,""Kkkkkkkk, pilhado é tão trouxa que se esquenta com o cara tirando onda com ele."
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,""O Flávio comenta só pra causar, ele não é tão burro de acreditar nas coisas que diz"",Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Este comentador de boteco é um idiota xenófobo,Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,""Esse Flávio Prado é um burro!"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Fui beijar meu currículo do Rogério Ceni deixar todo mundo p*** com ele olhar para a cara dele ele é burro ruim metido acha ele é tipo gabigol e entendeu sem estrela o Rogério Ceni é um gabigol sem estrela para tu ver o nível do Rogério Rogério é tão ruim que não tinha ninguém em casa a mulher dele o filho dele olha para cara dele ele consegue ser pior do que o Tite ainda e olha que eu odeio Tite😊,Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,Peço desculpas mas esse Sr é um burro e não entende nada de bola!!
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Este Flávio é o exemplo das pessoas que vivem do passado e desculpem as palavras é burro!"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Rogério ceni … muito burro este jornalista ."
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Não ele é burro"
DIRETO,"Esportes,""Esse cara é um idiota, ele vai conforme o que lê convém, péssimo dos péssimos"",Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"ESTE BURRO NO PRADO."",Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,Mas não descarto a hipótese de ele ser burro não.
DIRETO,"Ele é burro com vontade mesmo kkkkkkkkkk"",Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,Você é burro assim mesmo ou se esforça?
DIRETO,"É preciso ser muito burro cara jovem ir para a seleção para ficar queimado ​ @jherodygoncalves8951 ,Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,""Eu tô junto com Flávio Prado nessa Jorge Jesus vai dar só problema pra gente estando na seleção, o pilhado é burro é amor platônico que ele tem pelo Jorge Jesus."
DIRETO,"Prado sendo idiota como sempre,  não quer o Jorge Jesus porque o Neymar corre o risco de não estar na Copa do Mundo de 2026."
DIRETO,"Flávio é idiota👎"",Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"O Jorge Jesus na Seleção..."""" Pilhado x Flavio Prado!"",Jovem Pan Esportes,Esse cara é muito burro dizer que Rogério é melhor JJ não tem noção um cara desse,Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco"
DIRETO,"PROGRAMA POLÍTICO (PELOS IDOSOS),Porta dos Fundos,Fabio Porchat é burro,Política,https://www.youtube.com/watch?v=il-cG20QeG4"
DIRETO,Hahaha o eleitor brasileiro é um grande idiota.
DIRETO,"e agora percebeu que vc é o idiota ou precisa de mais alguns aninhos?"",Política,https://www.youtube.com/watch?v=il-cG20QeG4"
DIRETO,"PROGRAMA POLÍTICO (PELOS IDOSOS),Porta dos Fundos,Pqp como você é burro cara,Política,https://www.youtube.com/watch?v=il-cG20QeG4"
DIRETO,"PROGRAMA POLÍTICO (PELOS IDOSOS),Porta dos Fundos,Hamilton vc é burro?"
DIRETO,"PROGRAMA POLÍTICO (PELOS IDOSOS),Porta dos Fundos,vc é muito burro p entender."
DIRETO,"PROGRAMA POLÍTICO (PELOS IDOSOS),Porta dos Fundos,""vc é burro de mais"
DIRETO,"PROGRAMA POLÍTICO (PELOS IDOSOS),Porta dos Fundos,""nao cara, que loucura, vc é burro cara"
DIRETO,"PROGRAMA POLÍTICO (PELOS IDOSOS),Porta dos Fundos,""""""que loucura, você é burro cara.."""""
DIRETO,"PROGRAMA POLÍTICO (PELOS IDOSOS),Porta dos Fundos,Então você é burro pra caralho!,Política,https://www.youtube.com/watch?v=il-cG20QeG4"
DIRETO,"PROGRAMA POLÍTICO (PELOS IDOSOS),Porta dos Fundos,""Cara vc é muito burro, não sabe o que é humor inteligente."
CHAMAR_TRATAR,"PROGRAMA POLÍTICO (PELOS IDOSOS),Porta dos Fundos,""Eu mostrei esse vídeo pra um primo meu, ele me chamou de retardado."
DIRETO,vc é um idiota que adora contar vantagem com titulos
DIRETO,"PROGRAMA POLÍTICO (PELOS IDOSOS),Porta dos Fundos,""vc é burro mesmo heim, vc acha que o dinheiro que eles gastam em propaganda vem da onde?"
DIRETO,"Mentira, vc q é burro mesmo."
DIRETO,"o maximo que eu posso fazer é votar certo, mas como 90% é idiota e vota em ex-bbb e bandido que controi ponte, só resta criticar mesmo, e foi uma otima critica, o video critica não só o politico como os eleitores"
DIRETO,"PROGRAMA POLÍTICO (PELOS IDOSOS),Porta dos Fundos,""Querido, eu não sou retardada, eu entendi perfeitamente a piada, porém não achei tão engraçada assim, algum problema??"",Política,https://www.youtube.com/watch?v=il-cG20QeG4"
DIRETO,"Mas pra eles quanto mais idiota melhor (y)"",Política,https://www.youtube.com/watch?v=il-cG20QeG4"
DIRETO,O ÚNICO IDIOTA
DIRETO,"Tudo por 1 ponto,Rodriverso,""MDS mn, vc é burro?"
DIRETO,Esse rapaz que escolheram para defender a direita é um acéfalo...
DIRETO,"#706,Podcast 3 irmãos,""Crlh, esse deputado é muito burro."
DIRETO,"irmãos,""Esse burrorezzo é muito idiota, não compreendo como alguém vota nesse jumento..."
DIRETO,"#706,Podcast 3 irmãos,Jesus esse cara é muito burro 😂,Política,https://www.youtube.com/watch?v=fFvrutu5dl0"
DIRETO,"#706,Podcast 3 irmãos,""Cara esse calabrezzo é muito burro, chega ser bizarro."
DIRETO,"Esse cara é burro, doido ou os dois?"
DIRETO,"irmãos,1:01:12 esse cara é tão burro que até eu se fosse convidado pra debater com ele eu trato tava...,Política,https://www.youtube.com/watch?v=fFvrutu5dl0"
DIRETO,"irmãos,""Ainda bem que eu estudei e não sou mais conservador Liberal, eu era muito burro para defender essas ideias de bosta"",Política,https://www.youtube.com/watch?v=fFvrutu5dl0"
DIRETO,Aí eu comentei na postagem e ele me bloqueou IUAHEUHEUAH o bicho é muito burro.
DIRETO,"#706,Podcast 3 irmãos,""Caporezzi é burro demais, que preguiça"",Política,https://www.youtube.com/watch?v=fFvrutu5dl0"
DIRETO,"#706,Podcast 3 irmãos,""Caporezzo, sinceramente, de todos os congressistas bolsonaristas, tu é o mais burro."
DIRETO,"irmãos,""Esse caporezzo é muito burro e trata o socialismo como antagonista ao capitalismo."
VERBO_TERMO,"#706,Podcast 3 irmãos,""Caramba, fiquei com medo de ficar burro ouvindo esse Caporezzo."
DIRETO,"pior que ele é tão burro que não deve nem saber, deve achar q arrasou falando tanta idiotice."
DIRETO,5º Falar que burguês rico que paga 2% de IR enquanto eu pago 27% não é parasita é achar que trabalhador é burro.
DIRETO,"#706,Podcast 3 irmãos,""Caporezzo é muito burro velho, pqp como um cara desse vira deputado."
