Padrão,Frase
DIRETO,"Jornalismo,""Esse tal de Lula esteve no governo por 8 anos, só fez lambanças, roubos estrondosos e desvios de recursos que já estavamos cansados de ver em todos os jornais da TV brasileira, agora quer voltar lá pra fazer tudo igual, acha que o povo brasileiro é trouxa meu senhor?"",Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo, @marcosvinicius-pw4ef  ser burro hoje em dia é motivo de orgulho?"
DIRETO,Vcs acham que o povo é burro .
DIRETO,"Jornalismo,""Gente, eu não consigo acimilar uma pessoa que vota num camarada que foi condenado por 24 Juizes e diz que é inoscente, meu é inacreditável como alguns Brasileiros é tão burro!"
DIRETO,"lula tá achando que o povo é burro e desinformado, Simone você é uma vergonha!!!"
DIRETO,O  brasileiro não é idiota.
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,É muito burro kkkkkkkkkkkkkkkkkkkkkkkkkk molusco ladrão,Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,"Jornalismo,""Lulalixo acha que o povo pobre é burro, que preto é coitado, e afins, enfim o vitimismo"
DIRETO,"O povo é idiota demais!!!!!"",Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,Esse tal Lula é muito burro igual a presidenta Dilma,Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,"Só quem é burro tapado imbecil inútil mau caráter apoia o governo Bolsonaro,Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,"Lula, também é burro e sem projeto, e também foi atacado."
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,Estuda e corra atrás amigo kkkkkkkkkkkkkkkkk tu é burro?"
DIRETO,eu não sabia que vc era tão idiota...acordei a tempo para não deixar vc acabar com o meu País...
DIRETO,"q é esse Ladrão , ex-presidiario,  achando que o brasileiro é  burro, se dizendo inocente kkkkkll"",Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,""Tem que ser muito retardado mental para votar em Lula."
DIRETO,"E todo mundo (inclusive eu), acreditava que ele era só um idiota, até descobrir que foi a mídia brasileira que aproveitou que o brasileiro não tinha acesso a informação e manipulou para que todos achassem isso."
DIRETO,"PRESIDENCIAL 2022,Band Jornalismo,""por mais que a comparação seja idiota, essas motociatas foram financiadas com dinheiro público"",Política,https://www.youtube.com/watch?v="
DIRETO,"Jornalismo,""Esse lula é corajoso, e acha que o povo é burro e que o povo tem amnésia."
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,""No mínimo, seria mais idiota ainda"",Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,Bolsonaro só não é mais burro que o Lula.. qualquer um aí é melhor que esses 2,Política,https://www.youtube.com/watch?v="
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,Simone foi tão idiota que menti e menti toda hora"
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,Está Simone é uma idiota .,Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
CARACTERIZACAO,"Tebet parece idiota falando  do STJ,  e falando de governar com amor?"
DIRETO,"Jornalismo,""Sobre a fome, o Ciro tá loko, essas pessoas q estão nas ruas pedindo comida sempre existiram e eu duvido que no governo dele eles irão desaparecer, ele apontou diretamente as pessoas que vivem em situação de rua e isso sempre teve em todos os governos, ele foi BURRO"
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,Lula encantador de serpente quem é burro cai na lábia,Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,"PRESIDENCIAL 2022,Band Jornalismo,""valeu amigo, eu sou deficiente auditivo e teria que ralar até achar esse ponto!"",Política,https://www.youtube.com/watch?v="
DIRETO,"@minutosmitais3938  o Ciro foi tão burro nessa que ele mesmo se chama de serpente,esse defensor de mulheres,pergunte para a pillar,a pergunta do Bolsonaro a ele."
DIRETO,"Jornalismo,""Povo tem que ser muito idiota para achar que o sistema está preocupado com a saúde das pessoas."
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,Vai ser burro lá na china kkkkkkkk,Política,https://www.youtube.com/watch?v="
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,Bozo é burro e ponto final."
DIRETO,"Se é burro cara,Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,""Kkk canetada, tu é burro ou só se faz mesmo?"
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,"" @canaldaval8876  se é burro eim  , com certeza vc é um dos fanáticos"",Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,Acredita quem é trouxa e  ignorante.
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,se vc apoia o Bolsonaro vc é burro ou canalha msm,Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,Ou povo é burro ou o ladrão sabe enganar com maestria.
DIRETO,Porq ouvir esses caras de pau achando q o povo é trouxa e iguinorante aja paciência pra ouvir balelas e falácias
DIRETO,"Jornalismo,""Seria ótimo se o brasileiro não fosse burro."
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo, @sophiastephannievvl8311  seria uma boa ideia se o povo não fosse burro,Política,https://www.youtube.com/watch?v="
DIRETO,"Jornalismo,""Foda, povo é mto burro em votar em corrupto, tipo esse Lula."
DIRETO,"De uma coisa é certa nas mulheres eu nao voto prometeram de mais não vão fazer merda nenhuma o ciro disse que é paz e amor mas perdeu a linha quase saiu na porrada era do pt e saiu pra ser candidato ta achando que o povo é burro o luladrao disse que é inocente continua enganando o davila jesus esse sabe mentir mais que lula kkkkk so restou o ooo 22 .,Política,https://www.youtube.com/watch?v="
DIRETO,Depois disso só vota num vagabundo desses quem é burro ou corno.
DIRETO,"Jornalismo,""Ciro é burro e por isso não ganha nada, só fala em pagar dívida de caloteiros, e tem esses caloteiros ta devendo como fica, não gosto dessas ideia do Ciro so lembro de quem ta me devendo e não paga kkkk"",Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo, @maiconcosta2426  genocida mano do céu chamar um cara de genocida sabendo que o Brasil inteiro ajudou nas mortes você é muito burro cara não merece morar nesse país,Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,Não  queria  acreditar  que você   era tão  IDIOTA !
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,Cara pau mesmo ele acha que todo mundo é idiota,Política,https://www.youtube.com/watch?v=AJJg_TeXNSg"
DIRETO,"O povo brasileiro é um burro mesmo,era para esse país está em primeiro lugar ou mais evoluído,mas parece que nunca NUNCA vai acontecer."
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,Tiririca tu é outro burro um otario mentecapto sem noção sem caráter mais burro mesmo é quem votou em você Tiririca,Política,https://www.youtube.com/watch?v=AJJg_TeXNSg"
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,O povo é tão idiota que vê uma fala dessa e fica se derretendo,Política,https://www.youtube.com/watch?v=AJJg_TeXNSg"
DIRETO,E IGNORANTE É BURRO
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,""Cara de pau o povo é idiota pra votar em vc , tá mamando o salário sem fazer nada pelo povo vc é uma vergonha pra política só vota contra o povo falou que iria sair e voltou atrás sem palavras, caráter, vergonha de político."
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,""Esse cara é um trouxa mesmo  não?????"
DIRETO,Mas viu q o povo é lesado.
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,Tiririca é um IDIOTA,Política,https://www.youtube.com/watch?v=AJJg_TeXNSg"
DIRETO,"Quem for idiota, que vote novamente no palhaço!"
DIRETO,É O IDIOTA QUE
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,Esse cara é um BURRO e MENTIROSO.,Política,https://www.youtube.com/watch?v=AJJg_TeXNSg"
CARACTERIZACAO,"Mais discarado burro inalfabeto é que voto no cara igual este tiririca,Política,https://www.youtube.com/watch?v=AJJg_TeXNSg"
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,O palhaço é o trouxa que reelegeu um cara desse  deveria se envergonhar de votar em um pulha desse que só está  para receber pagamento não  para trabalhar em prol na nação,Política,https://www.youtube.com/watch?v="
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,"" @SNT925  só vou te falar 1 tá pra vc q é um acefalo ignorante pra defender bandido,  Lula jurou de pés juntos q triplex não era dele mesmo o presidente da oas mostrando  provas e aliás tem até fotos, hj o seu santo reivindica o próprio triplex q não era dele...."
VERBO_TERMO,"Será que o povo é tão burro assim que vai voltar essa praga,Política,https://www.youtube.com/watch?v="
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,Brasileiro é trouxa mesmo."
DIRETO,"Brasileiro é mt burro por isso o país tá assim kkkk o cara não cumpriu nada que fez e ainda tá lá no congresso sendo sustentado por nós,Política,https://www.youtube.com/watch?v=AJJg_TeXNSg"
DIRETO,"o povo é idiota , não é?"
DIRETO,A população não é idiota para votar neste mentiroso.
DIRETO,"O povo é tudo trouxa mesmo, se é enganado por ele, será enganado por qualquer um."
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,""Não me conformo como povo é burro."
DIRETO,"Depois faz campanha zombando da cara do povo voltei, povo trouxa é burro."
CARACTERIZACAO,"Mais burro ainda é quem fica discutindo em redes sociais por causa de vereadores, deputados e políticos."
DIRETO,Acha que o povo é idiota!
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,Agente sofre pq agente é burro e não somos unidos é um querendo ferrar o outros."
CHAMAR_TRATAR,"Prometem o mundo  e o fundo.não fazem nada,humilha os pobres,ganham a eleição  e depois vão  ri da nossa cara.a gente ta cansado de ser tratados como idiota, cadê  nossos direitos não  dizem que é igual?não  dizem que temos direitos  e deveres, mas direitos são roubados só  vejo deveres e impostos para e nosso pais cada se afundando mais .é muita corrupção, com a riqueza que nosso pais tem.se fosse todos honestos e trabalhadores  aí  sim teríamos  um país justo pra todos com uma vida digna."
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,""Sò digo uma coisa o povo é burro mesmo , oq o tiririca fez foi aposentar mas um politico em quatro anos ninguém se pergunta porq"
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,""Na primeira vez que vi este vídeo acreditei,mas fui pesquisar está lá até hoje nunca saiu quem é trouxa para largar está boquinha ,gosta de fazer as pessoas de palhaço 🤡 🤡"",Política,https://www.youtube.com/watch?v=AJJg_TeXNSg"
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,Esse é mais um idiota."
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,""Não sei quem é mais idiota: Tiririca, que falou isso e concorreu logo depois a mais um mandato (que está usufruindo até hoje) ou os que se """"emocionaram"""" com as palavras vazias do palhaço."
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,Que conversa mais sem rumo vai ser burro assim no inferno,Política,https://www.youtube.com/watch?v=AJJg_TeXNSg"
DIRETO,"ou ele é mentiroso ou o povo é burro que acredita em ator"",Política,https://www.youtube.com/watch?v="
DIRETO,Esse cara de pau é um idiota e todos que o aplaudem também são idiotas.
DIRETO,"Um idiota esse Tiririca"",Política,https://www.youtube.com/watch?v=AJJg_TeXNSg"
DIRETO,"Brasileiro é burro paca"",Política,https://www.youtube.com/watch?v=AJJg_TeXNSg"
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,"" @deusdesiosilva5150  Cara, você é burro ou quer um real?"
DIRETO,Povo brasileiro é muito trouxa.
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,Só cai nessa conversa quem for trouxa."
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,""Até quando o povo vai ser idiota ao ponto de apoiar político ?"
DIRETO,"O POVO SER IDIOTA,Política,https://www.youtube.com/watch?v=AJJg_TeXNSg"
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,Mas um é  idiota mesmo  invés de realmente ir ah fundo desistiu espelho dos banana,Política,https://www.youtube.com/watch?v=AJJg_TeXNSg"
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,Kkkkk como esse povo é trouxa....."
DIRETO,"Não é ele que tem inteligência, você que é tão burro a ponto de achar que ele é inteligente ."",Política,https://www.youtube.com/watch?v=AJJg_TeXNSg"
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,""Esse é outro idiota, mentiroso"",Política,https://www.youtube.com/watch?v=AJJg_TeXNSg"
DIRETO,"Estou decepcionado com a política brasileira”,CartaCapital,""Tu é burro ou  se fazendo de idiota, esse hipócrita so saiu para favorecer outro politico que estava sendo investigado, aí vem uma burra  igual a vc e vota nele, pq ele ganhou dinovo em 2018 e ta so curtindo com a sua cara"",Política,https://www.youtube.com/watch?v="
DIRETO,"Esse palhoça é um idiota mesmo pois nem a própria mãe ele é capaz de pagar um plano de saúde...,Política,https://www.youtube.com/watch?v=AJJg_TeXNSg"
DIRETO,"pq eu n confio nelas, n acredito q os msm q roubam vão voltar pra pq o povo escolheu, n quero acreditar q o povo é burro desse jeito..."
DIRETO,"eu sou burro e quero ter mais conhecimento da politicaa,Política,https://www.youtube.com/watch?v=90N6xRU58Vo"
DIRETO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,""Sinceramente eu acho que o Brasil do daria certo se voltasse a história toda, a gente foi tão burro que trocamos terras, riquezas e etc..."
CARACTERIZACAO,Parabéns ao brasileiro que a cada ano se torna mais burro.
DIRETO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,""mano esse garoto é burro ou o que?"
DIRETO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,Vc é burro !"
DIRETO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,Carai vc é burro em cara,Política,https://www.youtube.com/watch?v=90N6xRU58Vo"
DIRETO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,Br é burro,Política,https://www.youtube.com/watch?v=90N6xRU58Vo"
DIRETO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,""The Tief não, Brasileiro não é burro, Brasileiro é DESINFORMADO, como eu também era antes de ver esse video, só nos falta a curiosidade de saber, para emfim tirar a venda dos olhos"",Política,https://www.youtube.com/watch?v=90N6xRU58Vo"
DIRETO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,você é idiota poriço eu gosto de você,Política,https://www.youtube.com/watch?v=90N6xRU58Vo"
DIRETO,"E o povo brasileiro é trouxa, porque acredita nessa fantasia que a mídia cria."
DIRETO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,presidente é um idiota  eleito pelo povo que m sabev ota,Política,https://www.youtube.com/watch?v=90N6xRU58Vo"
DIRETO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,""+marise santana  provavelmente ele seja deficiente auditivo"
DIRETO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,Anonimatus você é o único trouxa que se acha fodão por saber o que tá no vídeo."
DIRETO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,+Formiga Solar MDS CARA vc é  burro ou oq,Política,https://www.youtube.com/watch?v=90N6xRU58Vo"
DIRETO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,""Ou você é burro, ou é só uma daquelas crianças que são a massa na internet"",Política,https://www.youtube.com/watch?v=90N6xRU58Vo"
DIRETO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,Felipe Cunha não sei qual partido é burro de colocar Dilma de presidente,Política,https://www.youtube.com/watch?v=90N6xRU58Vo"
DIRETO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,""Davi Silva ,você é burro cara."
VERBO_TERMO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,""Pior é que povo é burro..."
DIRETO,"Você é muito burro,Política,https://www.youtube.com/watch?v=90N6xRU58Vo"
DIRETO,"o brasileiro é muito idiota pra voltar nele de novo kkj"",Política,https://www.youtube.com/watch?v=90N6xRU58Vo"
DIRETO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,Don_ Perigo Cara aceita esquerdista é burro sim não tem conhecimento ao votar e isso é apenas minha opinião."
DIRETO,"esses que pensam assim são retardados (Eu era um retardado, mas mudei ^^) basta vc ter o mínimo de conhecimento cultural, acompanhar jornais, é só ter um pingo de senso que vc vai saber que Bolsonario não é tão foda quanto o idolatram."
DIRETO,"você é muito burro nem deve saber o que é inflação"",Política,https://www.youtube.com/watch?v=90N6xRU58Vo"
DIRETO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,Eliton Soares mds como vc é burro,Política,https://www.youtube.com/watch?v=90N6xRU58Vo"
DIRETO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,""você é burro, aproveita e faz o tão famoso urru"",Política,https://www.youtube.com/watch?v=90N6xRU58Vo"
DIRETO,"Mas nem precisam vir me julgar, sei que o povo brasileiro é burro mesmo e nunca teriam essa estratégia"",Política,https://www.youtube.com/watch?v=90N6xRU58Vo"
DIRETO,"Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,Nossa que trouxa 😂,Política,https://www.youtube.com/watch?v=90N6xRU58Vo"
DIRETO,"#shorts,Bunny Brasil,Foi 8 idiota,Jogos,https://www.youtube.com/watch?v=5xmg3dZZca8"
DIRETO,"#shorts,Bunny Brasil,""Todo mundo é burro é sete"
DIRETO,"#shorts,Bunny Brasil,88 88 é 8 com sério não sou burro,Jogos,https://www.youtube.com/watch?v=5xmg3dZZca8"
DIRETO,"As maiores vinganças do futebol,Futebol com Histórias,Não se idiota e cr7 se escreve assim                  👆,Esporte,https://www.youtube.com/watch?v=sVIpCdlP2Sk"
DIRETO,"As maiores vinganças do futebol,Futebol com Histórias,Claro eles não vão deixar assim ele sempre tem que ir lá eles são muito inteligentes aqueles que dão aqueles que deu o troco você é muito burro aqueles que tão trouxa daqui a pouco ele vai lá e dá aquele chutaço lá😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊🎉🎉🎉🎉🎉🎉🎉🎉😊😊😊😊😊,Esporte,https://www.youtube.com/watch?v=sVIpCdlP2Sk"
DIRETO,"As maiores vinganças do futebol,Futebol com Histórias,O CR7 É BURRO"
DIRETO,"As maiores vinganças do futebol,Futebol com Histórias,Cristiano Ronaldo não fez o certo ele é um idiota,Esporte,https://www.youtube.com/watch?v=sVIpCdlP2Sk"
DIRETO,"As maiores vinganças do futebol,Futebol com Histórias,""Por mim acho que o Mané é deficiente mental quem acha isto verdade clica aqui"
DIRETO,"As maiores vinganças do futebol,Futebol com Histórias,""Vc é burro ou você se faz?  """""
DIRETO,"As maiores vinganças do futebol,Futebol com Histórias,Não se idiota e cr7 se escreve assim                  👆,Esporte,https://www.youtube.com/watch?v=sVIpCdlP2Sk"
DIRETO,"As maiores vinganças do futebol,Futebol com Histórias,Claro eles não vão deixar assim ele sempre tem que ir lá eles são muito inteligentes aqueles que dão aqueles que deu o troco você é muito burro aqueles que tão trouxa daqui a pouco ele vai lá e dá aquele chutaço lá😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊🎉🎉🎉🎉🎉🎉🎉🎉😊😊😊😊😊,Esporte,https://www.youtube.com/watch?v=sVIpCdlP2Sk"
